Floor,Room_No.,Room_Name,Room_Type_No.,Room_Type_Name,Area_m2,Volume_m3,Specific_Cooling_Demand_per_m2_W_per_m2,Specific_Cooling_Demand_per_Person_W_per_Pers,Additional_Internal_Loads_W,Total_Cooling_Load_kW,Cooling_Type,Cooling_Capacity_W,Cooling_Count,Total_Cooling_kW,Specific_Heating_Demand_per_m2_W_per_m2,Total_Heating_Load_kW,Heating_Type,Heating_Capacity_W,Heating_Count,Total_Heating_kW
EG_OKRFB,D0 01,I4.4 & Robotik,5.0,Robotik,97000.0,362930.0,50.0,0.0,0.0,0.0,"4,850",1.0,485.0,0.0,40.0,388.0,H-K-Segel,3.88,1.0,388.0
EG_OKRFB,D0 08,Smartfarming,4.0,Smart Farming,98000.0,366540.0,50.0,0.0,0.0,0.0,"4,900",1.0,490.0,0.0,40.0,392.0,H-K-Segel,3.92,1.0,392.0
EG_OKRFB,D0 14,Allg. & Gruppenleitung,2.0,Einzel-/Zweierbüros,17000.0,63930.0,50.0,0.0,0.0,0.0,850,1.0,85.0,0.0,40.0,68.0,H-K-Segel,680.0,1.0,68.0
EG_OKRFB,D0 16,Azubi,2.0,Einzel-/Zweierbüros,8000.0,31230.0,50.0,0.0,0.0,0.0,400,1.0,40.0,0.0,40.0,32.0,H-K-Segel,320.0,1.0,32.0
EG_OKRFB,D0 17,Flex-Work Area,1.0,Flex-/ Co-Work/,64000.0,240730.0,50.0,0.0,0.0,0.0,"3,200",1.0,320.0,0.0,40.0,256.0,H-K-Segel,2.56,1.0,256.0
EG_OKRFB,D0 24a/b,Post / Kopieren,2.0,Einzel-/Zweierbüros,8000.0,30480.0,50.0,0.0,0.0,0.0,400,1.0,40.0,0.0,40.0,32.0,H-K-Segel,320.0,1.0,32.0
EG_OKRFB,D0 25,Installationsschacht,18.0,Schächte,8000.0,28990.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
EG_OKRFB,D0 26,Etagenverteiler,13.0,Etagenverteiler,8000.0,28990.0,0.0,0.0,3.5,0.0,"3,500",1.0,350.0,0.0,0.0,0.0,,0.0,0.0,0.0
EG_OKRFB,D0 27a/b,Flur,6.0,"Verkehrsflächen, Flure",70000.0,261730.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
EG_OKRFB,D0 28,Technikum,3.0,Technikum,99000.0,371560.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,40.0,396.0,E-Strahler,3.96,1.0,396.0
EG_OKRFB,Mo 06.1,WC Herren,8.0,WCs,3000.0,11910.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,30.0,9.0,HK,150.0,1.0,15.0
